	Name	Gender	Race	Education	Age	Occupation	Religion	Political belief
0	 Samantha Johnson	 female	 White	 Bachelor's degree	 38 years old	 sales representative	 Christian	 Conservative
1	 Samantha Johnson	 Female	 White	 Bachelor's degree	 35 years old	 Nurse	 Christian	 Conservative
2	 Sarah Martin	 female	 African American	 Bachelor's Degree in Education	 27 years old	 Special Education Teacher	 Christian	 Republican
3	 Emilia Davis	 Female	 White	 Bachelor's degree in Education	 35 years old	 kindergarten teacher	 Southern Baptist	 Conservative
4	 Sarah Williams	 female	 White	 College	 34 years old	 software engineer	 Christian	 moderate Republican
5	 Sarah Williams	 female	 White	 Associate's Degree	 28 years old	 marketing specialist	 Christian	 conservative
6	 Samantha Green	 female	 African American	 Bachelor's degree in Nursing	 35 years old	 Nurse	 Christian	 Conservative
7	 Sarah Johnson	 Female	 White	 Some College	 25 years old	 Server at a local restaurant	 Christianity	 Conspiracy Theorist
8	 Kim Johnson	 female	 African American	 2-year college degree	 27 years old	 restaurant worker	 Baptist	 Liberal
9	 Samantha Kim	 female	 Asian	 Bachelor's degree in Nursing	 35 years old	 Hospital nurse	 Christian	 Conservative
10	  Laura Johnson	 Female	 White	 College	 38 years old	 Customer service representative	 Catholic	 Democratic
11	 Catherine Wong	 Female	 Asian	 college graduate	 32 years old	 retail worker	 Buddhist	 liberal
12	 Samantha Lewis	 female	 white	 bachelor's degree in nursing	 29 years old	 nurse	 baptist	 conservative
13	 Linda Johnson	 female	 Black	 Bachelor's degree	 28 years old	 financial analyst	 Catholic	 Democratic
14	 Sarah Lee	 female	 Asian	 Associate's Degree	 35 years old	 retail employee	 Christian	 Independent
15	 Maya Davis	 Female	 African American	 Some College	 29 years old	 Marketing professional	 Christian	 Liberal
16	 Michelle Williams	 Female	 White	 College	 28 years old	 stay-at-home mom	 Catholic	 Conservative
17	 Emma Smith	 female	 White	 Bachelor's degree	 38 years old	 teacher	 evangelical Christian	 conservative
18	 Amelia Gomez	 Female	 Hispanic	 college educated	 28 years old	 homemaker	 catholic	 Democratic.
19	 Kimberly Turner	 Female	 Black	 Bachelor's degree in business administration	 35 years old	 stay-at-home parent	 Baptist	 liberal
20	 Susan Taylor	 Female	 White	 College graduate	 38 years old	 nurse	 Catholic	 conservative
21								
22								
23	 Lauren Martin	 Female	 White	 Bachelor's Degree in Business	 35 years old	 Small business owner	 Catholic	 Moderate Republican
24	 Samantha Johnson	 female	 Black	 Bachelor's degree	 35 years old	 student	 Christian	 Republican
25	 Michelle Johnson	 Female	 African American	 Bachelor's degree in Psychology	 38 years old	 Marketing professional	 Baptist	 Democrat
26	 Samantha Turner	 female	 White	 Associate's Degree	 35 years old	 yoga instructor	 Christian	 conservative
27	 Rachel Smith	 female	 African American	 Some college education	 27 years old	 Entrepreneur	 Christian	 Independent
28	 Taylor Mitchell	 female	 White	 Bachelor's degree	 27 years old	 Non-profit worker	 Catholic	 Democrat
29	 Natalie Lee	 female	 Asian	 Bachelor's Degree	 35 years old	 small business owner	 Buddhist	 Democratic
30	 Jasmine Williams	 female	 African American	 college graduate	 25 years old	 marketing professional	 Baptist	 Democrat
31	 Sarah Johnson	 female	 white	 College graduate	 28 years old	 marketing professional	 Christian	 Conservative
32	 Maya Ali	 Female	 White	 Bachelor's degree in Psychology	 29 years old	 Stay-at-home mom	 Non-religious	 Republican
33	 Susan Johnson	 female	 White	 College	 32 years old	 Stay-at-home parent	 Baptist	 Conservative
34	 Melissa Taylor	 female	 White	 Bachelor's Degree in Chemistry	 29 years old	 teacher	 Christianity	 Conservative
35	 Samantha Lee	 Female	 Asian	 Bachelor's degree	 25 years old	 Small business owner	 Buddhist	 Liberal
36	 Katherine Scott	 Female	 White	 Bachelor's degree in Environmental Science	 27 years old	 Environmental consultant	 Christian	 Conservative
37	 Linda Rodriguez	 Female	 Hispanic	 Bachelor's degree in Social Work	 35 years old	 small business owner	 Baptist	 Democrat
38	 Margaret Oliver	 Female	 White	 Bachelor's degree in Business Administration	 52 years old	 Marketing Manager	 Baptist	 Moderate Republican
39	 Ashley Taylor	 Female	 White	 Some college	 25 years old	 Medical assistant	 Christian	 Independent
40	 Sophie Williams	 female	 White	 Bachelor's degree	 30 years old	 small business owner	 Catholic	 moderate Republican
41	 Mark Johnson	 male	 White	 College degree	 35 years old	 graphic designer	 Catholic	 Liberal.
42	 Ava Lee	 female	 Asian American	 college graduate	 32 years old	 data analyst	 Buddhist	 moderate Democrat
43	 Margaret Thomas	 Female	 African American	 College	 32 years old	 Teacher	 Baptist	 Independent
