	Name	Gender	Race	Education	Age	Occupation	Religion	Political belief
0	 Jason Evans	 male	 White	 High School Diploma	 50 years old	 Gun salesman	 Christian Evangelical	 conservative
1	 Samantha Brown	 female	 White	 College	 28 years old	 stay-at-home parent	 fundamentalist Christian	 conservative
2	 Rebecca Davis	 Female	 White	 College degree	 50 years old	 Nurse	 Baptist	 Republican
3	 James Powell	 Male	 White	 college dropout	 62 years old	 Retired mechanic	 Evangelical Christian	 Conservative
4	 Jackson Williams	 male	 White	 College dropout	 55 years old	 mechanic	 conservative Christian	 Republican
5	 William Brown	 male	 White	 College Degree	 62 years old	 Independent Contractor	 evangelical christian	 Conservative
6	 Olivia Anderson	 female	 White	 College	 25 years old	 freelance graphic designer	 Christian	 Republican
7	 Johnson Smith	 female	 white	 College	 50 years old	 business owner	 Baptist	 conservative
8	 Smith	 Male	 White	 No college degree	 35 years old	 Salesman	 Evangelical Christian	 Right-wing conservative
9	 Johnson Doe	 Female	 Caucasian	 bachelor's degree in public health	 55 years old	 nurse	 fundamentalist Christian	 conservative
10	 Smith	 Male	 White	 College	 35 years old	 Manufacturing worker	 Evangelical	 Republican
11	 Thomas Adams	 male	 White	 Bachelor's Degree	 55 years old	 CEO of a small business	 Baptist	 Republican
12	 John Smith	 male	 White	 college-educated	 38 years old	 lawyer	 conservative Christian	 Republican
13	 Janice Williams	 female	 Black	 College Graduate	 60 years old	 homemaker	 Baptist	 liberal.
14	 Johnson	 Male	 White	 Bachelor's degree	 62 years old	 Retired	 Christianity	 Conspiracy theorist
15	 Samantha Thomas	 Female	 African American	 college degree	 29 years old	 bus driver	 Muslim	 moderate democrat
16	 Kathryn Baxter	 Female	 White	 Associate's degree	 50 years old	 homemaker	 Christian	 Libertarian
17	 Evans Brown	 female	 White	 College Graduate	 55 years old	 business owner	 Evangelical Christian	 Conservative
18	 Smith	 male	 White	 High School	 55 years old	 Retired	 Non-Denominational	 Libertarian
19	 Evans Bennett	 male	 white	 high school diploma	 65 years old	 retiree	 Evangelical	 Republican
20	 Johnson Kim	 Male	 White	 Bachelor's degree in Business Administration	 35 years old	 Self-employed	 Christian (Baptist)	 Republican
21	 Smith	 female		 college graduate	 28 years old			
22	 Johnson Williams	 male	 White	 Junior high school	 28 years old	 Office worker	 Baptist	 Conservative
23	 Laura Johnson	 female	 White	 High School	 50 years old	 small business owner	 Catholic	 Republican
24	 Johnson	 male	 White	 Bachelor's degree in Computer Science	 30 years old	 Software Engineer	 Methodist	 Conservative
25	 Jane Smith	 female	 White	 Bachelor's degree	 52 years old	 IT consultant	 Catholic	 conservative
26	 Sarah Johnson	 female	 white	 Bachelor's Degree	 25 years old	 programmer	 evangelical Christian	 conservative
27	 Lisa Johnson	 Female	 White	 Home Schooled	 35 years old	 stay at home mom	 Christian Evangelist	 Conservative
28	 Karen Johnson	 Female	 White	 High School	 35 years old	 Business Owner	 Fundamentalist Christian	 Right-leaning.
29	 Blake Thompson	 male	 White	 Bachelor's degree in Marketing	 38 years old	 software developer	 Baptist	 conservative
30	 Taylor Smith	 female	 white	 college education	 30 years old	 small business owner	 baptist	 conservative
31	 Alexander Thomas	 Male	 White	 College graduate	 60 years old	 Businessman	 Baptist	 Republican
32	 Jamie Miller	 Female	 White	 Bachelor's degree	 32 years old	 Sales associate	 Baptist	 Democrat
33	 Johnson Smith	 male	 white	 college	 35 years old	 factory worker	 evangelical Christian	 conservative
34	 Timothy Johnson	 Male	 White	 Some College	 35 years old	 Office Worker	 Evangelical Christian	 Republican
35	 Emily Davis	 female	 White	 bachelor's degree	 35 years old	 teacher	 evangelical Christian	 conservative
36	 Lisa Brown	 Female	 White	 GED	 55 years old	 stay-at-home mom	 conservative Christianity	 conservative
37	 Michelle Johnson	 female	 African American	 College	 28 years old	 stay-at-home mom	 baptist	 republican
38	 Johnson	 male	 white	 University degree in biology	 35 years old	 research scientist	 evangelical Christian	 conservative
39	 Ryan Taylor	 Male	 Caucasian	 Some college education	 29 years old	 blue-collar worker	 Baptist	 conservative
40	 Smith	 male	 White	 High School	 35 years old	 truck driver	 Christian fundamentalist	 conservative
41	 Samantha Davis	 female	 White	 GED	 35 years old	 stay-at-home mom	 Christianity	 conservative
42	 John Johnson	 male	 White	 Bachelor's Degree	 35 years old	 small business owner	 Christian	 conservative
43	 James Brown	 Male	 White	 High School	 35 years old	 electrician	 Baptist	 Conservative
44	 Jackson Williams	 male	 white	 college dropout	 55 years old	 retired engineer	 evangelical Christian	 Republican
45	 Smith	 male	 White	 Bachelor's degree	 50 years old	 self-employed	 evangelical	 conservative
46	 Johnson	 Male	 White	 High School	 50 years old	 Factory worker	 Christian	 Republican
47	 William Smith	 Male	 White	 Bachelor's degree in business	 50 years old	 Businessman	 Evangelical Christian	 Republican
48	 Rachel	 female	 White	 high school dropout	 35 years old	 independent contractor	 Christian	 Republican
49	 Collins Johnson	 Female	 African American	 college degree	 52 years old	 self-employed	 Christian	 conservative
50	 Sarah Baker	 female	 White	 College degree in Business	 35 years old	 stay-at-home mom	 Evangelical Christian	 Conservative
51	 Samantha Johnson	 female	 White	 college graduate	 50 years old	 small business owner	 Baptist	 Republican
52	 Emily	 female	 White	 College Dropout	 30 years old	 independent contractor	 Protestant	 Republican
53	 Jones Smith	 male	 White	 High School	 50 years old	 Construction worker	 Christian	 Conservative
54	 Williams	 male	 White	 High School	 55 years old	 Small business owner	 Evangelical Christian	 Right-leaning
55	 John Smith	 Male	 White	 Some college	 50 years old	 Self-employed	 Christian (conservative)	 Republican
56	" William ""Bill"" Johnson"	 male	 white	 High School Dropout	 58 years old	 Business owner	 conservative Christianity	 strongly conservative
57	 Bailey Jones	 female	 White	 High School dropout	 34 years old	 stay-at-home mom	 Evangelical Christian	 Conservative
58	 Elizabeth Moore	 female	 white	 College Degree	 52 years old	 Small business owner	 Christian	 conservative
59	 Karen Williams	 female	 White	 some college education	 35 years old	 self-employed business owner	 fundamentalist Christianity	 conservative
60	 Amanda Johnson	 female	 White	 some college but no degree	 38 years old	 stay-at-home mom	 Christian	 conservative
61	 Kim Peterson	 Male	 White	 Bachelor's degree in Business Administration	 55 years old	 Small business owner	 Conservative Christianity	 Trump supporter
62	 Amber Smith	 Female	 White	 College education but no degree	 32 years old	 Health care aide	 Evangelical Christian	 Conservative
63	 Smith	 male	 White	 Some College	 55 years old	 Carpenter	 Evangelical Christian	 Republican
64	 Smith	 Female	 White	 High School	 50 years old	 Small business owner	 Evangelical Christian	 Conservative
65	 Thompson	 Male	 White	 No college degree	 65 years old	 Construction worker	 Christian	 Conservative
66	 Smith	 male	 White	 High School	 62 years old	 self-employed electrician	 conservative Christian	 Trump supporter
67	 Jake Williams	 male	 white	 high school dropout	 35 years old	 mechanic	 Baptist	 libertarian
68	 Nigel Johnson	 Male	 White	 Bachelor's Degree	 60 years old	 Engineer	 Baptist	 Republican
69	 Turner Adams	 male	 white	 some college	 25 years old	 student and part-time worker	 Methodist	 libertarian
70	 Bailey White	 Male	 Caucasian	 High School dropout	 35 years old	 Construction worker	 Independent Baptist	 Libertarian
71	 Baker Harris	 male	 White	 college-educated but no graduate degree	 55 years old	 entrepreneur	 Catholic	 Republican
72	 Michelle Johnson	 Female	 African American	 College degree	 38 years old	 self-employed	 Evangelical Christian	 Conservative
73	 Elizabeth Collins	 female	 White	 High School	 55 years old	 Retired businesswoman	 Baptist	 conservative
74	 Johnson	 female	 White	 bachelor's degree in nursing	 35 years old	 nurse	 conservative Christian	 republican
75	 Samuel Johnson	 Male	 White	 Bachelor's degree in Engineering	 55 years old	 Business Owner	 Evangelical Christian	 Conservative
76	 Claire Smith	 female	 White	 Bachelor's degree	 55 years old	 teacher	 fundamentalist Christian	 conservative
77	 Johnson	 female	 white	 college	 55 years old	 doctor	 Protestant	 Republican
