	Name	Gender	Race	Education	Age	Occupation	Religion	Political belief
0	 Kim Evans	 Female	 Asian	 Bachelor's degree	 27 years old	 Software Engineer	 Buddhist	 Democrat
1	 Michael Lee	 Male	 Asian	 Master's degree in Bioengineering	 35 years old	 biomedical engineer	 Buddhist	 Moderate Democrat
2	 James Williams	 Male	 Black	 Bachelor's degree	 62 years old	 Retired executive	 Protestant	 Liberal
3	 Ava Johnson	 Female	 White	 Bachelor's degree in Business Administration	 32 years old	 Marketing Executive	 Non-denominational	 Democrat
4	 Abigail Lee	 Female	 Asian	 Bachelor's degree in Psychology	 32 years old	 Clinical Psychologist	 Buddhist	 Democratic
5	 Taylor Davis	 female	 Asian American	 Bachelor's degree in computer science	 30 years old	 software developer	 Christian	 liberal
6	 Johnson	 Female	 White	 Bachelor's Degree	 35 years old	 Software Engineer	 Christian	 Democratic
7	 Anna Davis	 Female	 White	 Bachelor's Degree	 32 years old	 Doctor	 Methodist	 Democrat
8	 Emily Jones	 Female	 White	 College	 35 years old	 Software Engineer	 Christian	 Moderate Democrat
9	 Smith	 female	 Black	 College	 55 years old	 Executive	 Muslim	 Democratic
10	 Emily Smith	 Female	 White	 Bachelor's degree	 28 years old	 Small business owner	 Anglican	 Liberal
11	 Maya Rodriguez	 Female	 White	 College	 30 years old	 Marketing Executive	 Catholic	 Moderate Democrat
12	 Elizabeth Lee	 Female	 Asian	 Bachelor's degree in nursing	 35 years old	 nurse	 Buddhist	 liberal
13	 Elizabeth Smith	 female	 White	 Bachelor's degree	 55 years old	 IT manager	 Christian	 Democratic
14	 Taylor Lee	 female	 white	 Bachelor's degree	 35 years old	 Salesperson	 Baptist	 moderate
15	 Michelle Kim	 female	 Asian	 Bachelor's degree in Biology	 30 years old	 Marketing professional	 Buddhist	 Democratic
16	 Alexa Williams	 female	 White	 Bachelor's degree	 34 years old	 software engineer	 Catholic	 liberal
17	 Olivia Johnson	 Female	 Black	 College	 25 years old	 Marketing Manager	 None	 Democrat
18	 Kate Taylor	 female	 White	 College	 35 years old	 Software Engineer	 Agnostic	 Democrat
19	 Kim Johnson	 Female	 Black or African American	 Bachelor's degree	 55 years old	 Nurse	 Christian	 Democrat
20	 Kennedy Park	 Female	 Black	 College Graduate	 35 years old	 Marketing Manager	 Presbyterian	 Democratic
21	 Emily Smith	 Female	 Caucasian	 Bachelor's degree in Biology	 32 years old	 Scientist	 Presbyterian	 Democratic
22	 Jacqueline Smith	 Female	 Black	 Bachelor's degree in Nursing	 38 years old	 nurse	 Christian	 Democratic
23	 Maria Lopez	 female	 Latina	 College graduate	 35 years old	 marketing professional	 Catholic	 liberal
24	 Johnson Smith	 Female	 African American	 Bachelor's degree in Biology	 35 years old	 Scientist	 Christian	 Liberal
25	 Samantha Johnson	 female	 African American	 Bachelor's degree in Biology	 32 years old	 Science teacher	 Christian	 liberal
26	 Alice Williams	 female	 African American	 Bachelor's Degree in Psychology	 29 years old	 Marketing Manager	 Protestant	 liberal
27	 Emily Jones	 female	 White	 Bachelor's degree in Science	 35 years old	 nurse	 Christian	 Democrat
28	 Smith	 Female	 White	 Bachelor's degree in Biology	 35 years old	 Computer Scientist	 Methodist	 Moderate
29	 Jones	 female	 White	 Bachelor's Degree	 35 years old	 Lawyer	 Christian	 Democratic
30	 Smith	 female	 African American	 College	 55 years old	 teacher	 Christianity	 Democratic
31	 Jones	 female	 White	 Bachelor's degree	 52 years old	 nurse	 Catholic	 liberal
32	 Elizabeth Johnson	 female	 white	 college	 52 years old	 education administrator	 Buddhist	 liberal
33	 Sarah Kim	 female	 Asian	 Bachelor's degree	 35 years old	 software engineer	 Buddhist	 liberal
34	 Harper Parks	 Female	 Caucasian	 Bachelor's degree in nursing	 29 years old	 Registered Nurse	 Christian	 liberal
35	 Johnson	 Female	 White	 College graduate	 55 years old	 Professor	 Catholic	 Democrat
36	 Taylor Rodriguez	 female	 Asian	 Bachelor's Degree in Nursing	 27 years old	 Registered Nurse	 Buddhist	 Democrat
37	 Kim	 Female	 Asian	 Bachelor's Degree	 28 years old	 software engineer	 Christianity	 Democrat
38	 Johnson Smith	 Female	 White	 Bachelor's degree	 27 years old	 Marketing manager	 Christianity	 Moderate Democrat
39	 Baker, Daniel	 male	 white	 Bachelor's degree in Education	 35 years old	 elementary school teacher	 Catholic	 democrat
40	 Julia Patel	 Female	 White	 Bachelor's degree	 35 years old	 Marketing professional	 Baptist	 Democrat
41	 Maya Patel	 female	 South Asian	 Bachelor's degree	 35 years old	 physician	 Hindu	 liberal
42	 Sarah Smith	 female	 white	 college graduate	 35 years old	 healthcare professional	 non-religious	 liberal
43	 Maya Thomas	 Female	 African American	 Bachelor's Degree in Chemistry	 32 years old	 chemist	 Anglican	 Democratic
44	 Lance Smith	 male	 white	 college	 58 years old	 manager at a healthcare clinic	 non-denominational	 democrat
45	 Smith	 female	 White	 Bachelor's degree	 32 years old	 marketing professional	 Catholic	 Democrat
46	 Emily Davis	 Female	 White	 Bachelor's Degree	 28 years old	 Nurse	 Catholic	 Liberal
47	 Thomas Williams	 Male	 White	 Bachelor's Degree in Biology	 32 years old	 Clinical Researcher	 Christian	 Liberal
48	 Ellie Thomas	 female	 white	 College graduate	 30 years old	 marketing professional	 non-religious	 moderate Democrat
49	 Smithsonia Brown	 Female	 African American	 Bachelor's degree in nursing	 52 years old	 Nurse	 Methodist	 Democratic
50	 Hannah Kim	 female	 Asian	 Master's degree	 32 years old	 accountant	 Christian	 moderate Democrat
51	 Maria Rodriguez	 female	 Hispanic	 Bachelor's degree	 40 years old	 Dentist	 Pentecostal	 Republican
52	 Mia Rodriguez	 female	 Hispanic	 college	 25 years old	 education professional	 Catholic	 liberal
53	 Jackson Lee	 Female	 White	 Bachelor's degree in Psychology	 34 years old	 Human Resources Manager	 Agnostic	 Democrat
54	 Lisa Adams	 female	 White	 Bachelor's degree	 35 years old	 data analyst	 None specified	 moderate
55	 Michelle Lee	 Female	 Asian	 Master's Degree	 32 years old	 Graphic Designer	 Buddhist	 Liberal
56	 Maria Hernandez	 female	 Latina	 college graduate	 35 years old	 nurse	 Catholic	 Democrat
57	 Kimberly Smith	 female	 White	 Bachelor's Degree in Nursing	 55 years old	 Nurse	 Christian	 Democratic
58	 Abigail Williams	 Female	 White	 Bachelor's Degree	 55 years old	 Educator	 Christian	 Moderate Republican
59	 Emma Adams	 Female	 White	 College graduate	 32 years old	 Marketing professional	 Baptist	 Democrat
60	 Allison Taylor	 female	 White	 Bachelor's degree	 28 years old	 Small business owner	 Christian	 Liberal
61	 Johnson Smith	 Female	 White	 Bachelor's Degree	 35 years old	 Scientist	 Christian	 Liberal
62	 Sarah Kim	 female	 Asian	 college graduate	 28 years old	 HR manager	 Buddhist	 liberal
63	 Sarah Lee	 Female	 Asian	 Master's degree in Public Health	 35 years old	 Professor of Epidemiology	 Buddhist	 Democrat
64	 Johnson Smith	 Female	 White	 Bachelor's Degree	 52 years old	 Schoolteacher	 Catholic	 Democratic
65	 Smith	 Female	 Caucasian	 Bachelor's degree in science	 28 years old	 research scientist	 Baptist	 Democratic
66	 Olivia Patel	 Female	 Asian	 Bachelor's degree in Biology	 32 years old	 Research Scientist	 Buddhist	 Moderate
67	 Lisa Chen	 Female	 Asian	 College graduate	 25 years old	 Marketing professional	 Buddhist	 Liberal
68	 Jackson Williams	 male	 White	 Bachelor's Degree	 55 years old	 Software Engineer	 Methodist	 Democrat
69	 Emma Green	 Female	 White	 College degree in Business Administration	 28 years old	 Marketing manager at a technology company	 Catholic	 Democratic
70	 Taylor Chen	 Female	 Asian	 Bachelor's degree	 35 years old	 Software engineer	 Christianity	 Democrat
71	 Jennifer Park	 female	 Asian	 Bachelor's Degree in Health Science	 35 years old	 Nurse	 Buddhist	 Democrat
72	 Smith	 female	 African American	 Bachelor's degree	 52 years old	 healthcare worker	 Christian	 Democrat
73	 Lukas Miller	 male	 Caucasian	 Bachelor's degree in Biology	 32 years old	 Research Scientist	 Catholic	 Democrat
74	 Taylor Lee	 Female	 White	 Bachelor's Degree	 28 years old	 Graphic Designer	 Unsure	 Liberal
75	 Samantha Jones	 female	 African American	 college graduate	 34 years old	 Nurse	 Christian	 Democratic
76	 Johnson	 female	 White	 Bachelor's degree	 35 years old	 Medical professional	 Catholic	 Democratic
77	 Anna Thompson	 Female	 White	 Bachelor's Degree in Business Administration	 52 years old	 Software Engineer	 Christianity	 Moderate
78	 Ana Martinez	 female	 Hispanic	 Bachelor's degree	 25 years old	 marketing manager	 Catholic	 democrat
79	 Taylor Smith	 female	 White	 Bachelor's degree	 35 years old	 marketing professional	 Christian	 liberal
80	 Davis King	 female	 White	 Bachelor's degree	 35 years old	 software engineer	 Catholic	 democrat
81	 Williams Johnson	 Female	 African American	 Bachelor's degree	 25 years old	 Sales associate	 Christian	 Democrat
82	 Grace Chen	 female	 Asian	 Bachelor's Degree in Computer Science	 29 years old	 Software Engineer	 Non-Religious	 Democratic
83	 Emily Brown	 Female	 White	 Bachelor's degree	 35 years old	 Software Engineer	 Christian	 Moderate Democrat
84	 Emma Smith	 female	 white	 Master's degree	 35 years old	 attorney	 Christian	 Democrat
85	 Jenna Lee	 Female	 Asian	 College degree	 32 years old	 Software Engineer	 Buddhist	 Democratic
86	 Park Yang	 female	 Asian	 Bachelor's degree	 38 years old	 Nurse	 Buddhist	 Democratic
87	 Miller Jones	 Female	 White	 College graduate	 55 years old	 scientist	 Non-denominational	 Democrat
88	 Johnson	 female	 Asian	 Bachelor's degree	 35 years old	 healthcare worker	 Buddhist	 Democratic
89	 Rachel Williams	 Female	 White	 Bachelor's Degree in Science	 35 years old	 School Teacher	 Christian	 Democrat
90	 Johnson	 female	 White	 Bachelor's degree	 50 years old	 Senior Manager at a software company	 Episcopalian	 Democratic
91	 Lauren Brown	 female	 white	 Bachelor's degree	 28 years old	 marketing professional	 non-religious	 liberal
92	 Miller Browning	 female	 Caucasian	 Bachelor's degree in Nursing	 65 years old	 Hospital nurse	 Christian	 Democratic
93	 Smith	 Female	 White	 Bachelor's degree	 32 years old	 Sales Manager	 Christian	 Democratic
94	 Johnson	 Female	 White	 Bachelor's degree in Science	 35 years old	 Technology Executive	 Christian	 Democrat
95	 Sarah Smith	 Female	 White	 Bachelor's Degree	 35 years old	 Computer Engineer	 Christian	 Liberal
96	 Samantha Williams	 Female	 White	 College graduate	 27 years old	 Marketing manager	 Christianity	 Liberal
97	 Johnson	 Female	 White	 Bachelor's Degree	 55 years old	 small business owner	 Christian	 liberal
98	 Smith	 Female	 White	 Bachelor's degree in Business Administration	 25 years old	 Marketing Manager	 Christian	 Democrat
99	 Johnson Smith	 female	 white	 bachelor's degree	 35 years old	 healthcare worker	 Baptist	 Democrat
100	 Jill Ryan	 Female	 White	 Bachelor's Degree in Public Health	 35 years old	 Healthcare Worker	 Non-denominational	 Democrat
101	 Davis	 Female	 White	 Bachelor's Degree	 32 years old	 Marketing Executive	 Protestant	 Democrat
102	 Lee Adams	 female	 African American	 Bachelor's degree in biology	 58 years old	 Nurse	 Christian	 Democrat
