	Name	Gender	Race	Age	Occupation	Religion	Political belief	Education
0	 Johnson	 female	 African American	 35 years old	 nurse	 Christian	 Democratic	
1	 Sarah Johnson	 female	 white	 35 years old	 stay-at-home mom	 Christian	 conservative	
2	 Sarah Johnson	 female	 white	 35 years old	 small business owner	 Christian	 conservative	 Bachelor's degree in Business Administration
3	 Sarah Johnson	 female	 white	 35 years old	 stay-at-home mom	 Baptist	 conservative	
4	 Sarah Johnson	 female	 White	 35 years old	 small business owner	 Christian	 conservative	
5	 Johnson	 female	 African American	 35 years old	 nurse	 Baptist	 Democrat	
6	 Sarah Lee	 female	 Asian	 35 years old	 small business owner	 Buddhist	 liberal	
7	 Sarah Johnson	 female	 white	 35 years old	 small business owner	 Christian	 conservative	
8	 Sarah Johnson	 female	 white	 52 years old	 stay-at-home mom	 Baptist	 conservative	
9	 Sarah Johnson	 female	 white	 35 years old	 small business owner	 Baptist	 conservative	
10	 John Smith	 male	 White	 55 years old	 small business owner	 Baptist	 conservative	
11	 Elizabeth Smith	 female	 white	 55 years old	 small business owner	 Christian	 conservative	
12	 Sarah Lee	 female	 Asian	 27 years old	 small business owner	 Christian	 conservative	
13	 John Smith	 male	 White	 55 years old	 small business owner	 Baptist	 conservative	 Bachelor's degree in Business Administration
14	 Johnson	 female	 White	 50 years old	 nurse	 Baptist	 conservative	
15	 Samantha Lee	 female	 Asian	 27 years old	 small business owner	 Buddhist	 Democrat	 bachelor's degree in business administration
16	 Sarah Johnson	 female	 white	 35 years old	 small business owner	 Baptist	 Republican	
17	 Smith	 female	 white	 35 years old	 teacher	 Christian	 moderate Republican	
18	 Sarah Johnson	 female	 white	 35 years old	 nurse	 Christian	 conservative	
19	 Johnson	 female	 African American	 50 years old	 nurse	 Christian	 Democrat	
