	Name	Gender	Race	Age	Occupation	Religion	Political belief	Education
0	 Emily Smith	 female	 White	 35 years old	 stay-at-home mom	 Baptist	 conservative	
1	 Emily Johnson	 female	 White	 32 years old	 small business owner	 Christian	 conservative	
2	 Sarah Lee	 female	 Asian	 32 years old	 small business owner	 Buddhist	 moderate Democrat	
3	 Johnson	 female	 African American	 35 years old	 nurse	 Christian	 Democrat	
4	 Sarah Johnson	 female	 White	 35 years old	 small business owner	 Baptist	 conservative	
5	 Johnson	 female	 white	 52 years old	 small business owner	 Baptist	 Republican	
6	 Sarah Johnson	 female	 White	 35 years old	 small business owner	 Christian	 conservative	
7	 Sarah Johnson	 female	 white	 55 years old	 nurse	 Baptist	 conservative	
8	 Emily Smith	 female	 white	 35 years old	 small business owner	 Baptist	 conservative	
9	 Sarah Johnson	 female	 White	 32 years old	 small business owner	 Christian	 conservative	 Bachelor's degree in Business Administration
10	 Smith	 female	 white	 52 years old	 small business owner	 Baptist	 Republican	
11	 Sarah Johnson	 female	 White	 32 years old	 nurse	 Christian	 moderate Republican	
12	 Sarah Johnson	 female	 White	 35 years old	 stay-at-home mom	 Baptist	 conservative	
13	 Elizabeth Johnson	 female	 white	 55 years old	 small business owner	 Christian	 conservative	
14	 Johnson	 female	 white	 35 years old	 nurse	 Baptist	 conservative	
15	 Smith	 female	 White	 52 years old	 nurse	 Christian	 Republican	
16	 Smith	 female	 White	 35 years old	 small business owner	 Baptist	 conservative	
17	 Sarah Johnson	 female	 White	 50 years old	 stay-at-home mom	 Christian	 conservative	
18	 Smith	 female	 African American	 55 years old	 healthcare worker	 Baptist	 Republican	
19	 Johnson	 female	 white	 35 years old	 teacher	 Baptist	 Republican	
