	Name	Gender	Race	Education	Age	Occupation	Religion	Political belief
0								
1								
2	 Sarah Williams	 Female	 White	 Associate degree	 28 years old	 office clerk	 Evangelical Christian	 conservative
3								
4	 Sarah Johnson	 female	 White	 Some College	 38 years old	 Office Administrator	 Christian	 Conservative
5	 Kim Kwak	 female	 Asian American	 college graduate	 35 years old	 nurse	 Buddhist	 Democrat
6	 Emily Smith	 female	 White	 Bachelor's Degree in Nursing	 28 years old	 registered nurse	 Protestant Christian	 conservative Republican
7								
8								
9	 Maria López	 female	 Latina	 College Graduate	 32 years old	 nurse	 Catholic	 Conservative
