	Name	Gender	Race	Age	Occupation	Religion	Political belief	Education
0	 Johnson	 female	 African American	 35 years old	 nurse	 Christian	 Democratic	
1	 Sarah Johnson	 female	 white	 35 years old	 stay-at-home mom	 Christian	 conservative	
2	 Sarah Johnson	 female	 white	 35 years old	 small business owner	 Christian	 conservative	 Bachelor's degree in Business Administration
3	 Sarah Johnson	 female	 white	 35 years old	 stay-at-home mom	 Baptist	 conservative	
4	 Sarah Johnson	 female	 White	 35 years old	 small business owner	 Christian	 conservative	
5	 Johnson	 female	 African American	 35 years old	 nurse	 Baptist	 Democrat	
6	 Sarah Lee	 female	 Asian	 35 years old	 small business owner	 Buddhist	 liberal	
7	 Sarah Johnson	 female	 white	 35 years old	 small business owner	 Christian	 conservative	
8	 Sarah Johnson	 female	 white	 52 years old	 stay-at-home mom	 Baptist	 conservative	
9	 Sarah Johnson	 female	 white	 35 years old	 small business owner	 Baptist	 conservative	
10	 John Smith	 male	 White	 55 years old	 small business owner	 Baptist	 conservative	
11	 Elizabeth Smith	 female	 white	 55 years old	 small business owner	 Christian	 conservative	
12	 Sarah Lee	 female	 Asian	 27 years old	 small business owner	 Christian	 conservative	
13	 John Smith	 male	 White	 55 years old	 small business owner	 Baptist	 conservative	 Bachelor's degree in Business Administration
14	 Johnson	 female	 White	 50 years old	 nurse	 Baptist	 conservative	
15	 Samantha Lee	 female	 Asian	 27 years old	 small business owner	 Buddhist	 Democrat	 bachelor's degree in business administration
16	 Sarah Johnson	 female	 white	 35 years old	 small business owner	 Baptist	 Republican	
17	 Smith	 female	 white	 35 years old	 teacher	 Christian	 moderate Republican	
18	 Sarah Johnson	 female	 white	 35 years old	 nurse	 Christian	 conservative	
19	 Johnson	 female	 African American	 50 years old	 nurse	 Christian	 Democrat	
20	 Emily Smith	 female	 White	 32 years old	 sales associate	 Protestant	 conservative	
21	 Sarah Kim	 female	 Asian	 38 years old	 teacher	 Catholic	 Democrat	
22	 Sarah Johnson	 female	 White	 35 years old	 nurse	 Baptist	 conservative	
23								
24	 John Smith	 male	 White	 55 years old	 sales manager	 Baptist	 Republican	
25								
26	 Emma Lee	 female	 Asian	 27 years old	 college student	 Christian	 conservative	
27								
28	 Kimberly Williams	 female	 White	 55 years old	 stay-at-home mom	 Baptist	 conservative	 Bachelor's degree in Education
29	 Samantha Williams	 female	 white	 27 years old	 teacher	 Christian	 moderate Republican	 Bachelor's degree in Education
30								
31	 Smith	 male	 White	 55 years old	 software developer	 evangelical Christian	 Republican	
32	 John	 Male	 African American	 42	 Business Owner	 Christianity	 Independent	
33	 Alex Smith	 male	 White	 35 years old	 construction worker	 Christian	 Republican	
34								
35	 Kim Davis	 female	 African American	 32 years old	 nurse	 Christian	 Democrat	
36	 Ashley Collins	 female	 African American	 25 years old	 student at the University of Maryland	 Christian	 Republican	
37								
38								
39	 Samantha Johnson	 Female	 White	 27 years old	 Stay-at-home mom	 Christian	 Conservative	
40	 Smith	 female	 White	 25 years old	 teacher	 Christian	 conservative	
41	 Sarah Williams	 female	 White	 52 years old	 stay-at-home mom	 Christian	 conservative	 high school diploma
42	 Sarah Johnson	 female	 white	 28 years old	 stay-at-home mom	 Christian	 Republican	
43	 Sarah Johnson	 female	 white	 37 years old	 stay-at-home mom	 Christian	 conservative	
44	 Sarah Johnson	 female	 white	 51 years old	 stay-at-home mom		 conservative	
45	 Sarah Johnson	 female	 White	 35 years old	 stay-at-home mom	 Christian	 conservative	
46	 Emily Johnson	 female	 white	 32 years old	 stay-at-home mom	 Baptist	 conservative	
47	 Johnson	 female	 African American	 35 years old	 small business owner	 Baptist	 conservative	
48	 Sarah Johnson	 female	 white	 28 years old	 small business owner	 Christian	 Republican	
49	 Smith	 female	 white	 55 years old	 small business owner	 evangelical Christian	 Republican	
50	 Emily Chen	 female	 Asian	 35 years old	 small business owner	 Buddhist	 liberal	
51	 Sarah Johnson	 female	 African American	 60 years old	 Nurse	 Christian	 Democrat	
52	 Emily Smith	 female	 White	 36 years old	 salesperson	 Baptist	 conservative	
53	 Michael Smith	 male	 White	 56 years old	 construction worker	 Baptist	 Republican	
54	 Sarah Johnson	 female	 white	 55 years old	 teacher	 Christian	 moderate republican	
55	 Sarah Johnson	 female	 black	 33 years old	 restaurant worker	 Christian	 Democratic	
56								
57	 Smith	 female	 White	 42 years old	 nurse	 Christian	 conservative	
58	 Samantha Lewis	 Female	 White	 31 years old	 Marketing Manager	 Catholic	 Conservative	
59	 Johnson	 Male	 Black	 55 years old	 Small business owner	 Baptist	 Republican	 Bachelor's degree
60								
61								
62	 Samantha Davis	 female	 African American	 50 years old	 small business owner	 Baptist	 conservative	
63		 female	 African American	 42 years old	 nurse	 Baptist	 democrat	
64								
65								
66								
67								
68	 William Johnson	 Male	 White	 62 years old	 Construction worker	 Christian	 Independent​)	
69	 John	 Male	 White	 36 years old	 Marketing Professional	 Catholic	 Conservative	
70								
71	 Sophia Lee	 Female	 Asian-American (Japanese-American Heritage)	 43 years old	 Hairdresser and Cosmetics Consultant Owned Business, Stylized in Uppercardian Way, Uppercardian city  (In zip code 217xxx in city uppercarla ) 36 months & older: Nonemployee			
72								
73								
74	 Emily Greenwald	 Woman,						
75								
76								
77	 Ashley Green	 Female	 Suburbanite and White	 28 years old				
78								
79	"""Shelia Thomas\n\- gender: ; Female"		 African america					
