	Name	Gender	Race	Age	Occupation	Religion	Political belief	Education
0	 Sarah Lee	 female	 Asian	 28 years old	 small business owner	 Buddhist	 liberal	
1	 Sarah Johnson	 female	 white	 35 years old	 small business owner	 Baptist	 conservative	 Bachelor's degree in Business Administration
2	 Emily Chen	 female	 Asian	 28 years old	 teacher	 Buddhist	 Democrat	
3	 Sarah Johnson	 female	 white	 55 years old	 small business owner	 Christian	 conservative	
4	 Sarah Lee	 female	 Asian	 35 years old	 small business owner	 Buddhist	 moderate Republican	
5	 Emily Smith	 female	 white	 35 years old	 small business owner	 Baptist	 conservative	
6	 Sarah Johnson	 female	 white	 35 years old	 small business owner	 Baptist	 conservative	 bachelor's degree in business administration
7	 Sarah Lee	 female	 Asian	 35 years old	 small business owner	 Buddhist	 moderate Republican	
8	 Johnson	 female	 White	 55 years old	 small business owner	 Christian	 conservative	
9	 Johnson	 female	 white	 52 years old	 small business owner	 Baptist	 conservative	
